"","ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
"106",0.154146559988905,0.3249385682098,0.269190527063955,0.348427591260265,"euclidean","Phillips et al"
"107",0.142921590760001,0.320100944914002,0.260149039473373,0.338206711864909,"euclidean","Phillips et al"
"108",0.141893320178589,0.313313109829944,0.256246887386078,0.344975044432405,"euclidean","Phillips et al"
"109",0.141340036056846,0.304870097687387,0.256731094361159,0.349452306251133,"euclidean","Phillips et al"
"110",0.116639383662798,0.31608252801822,0.244989510325309,0.325549146600738,"euclidean","Phillips et al"
"111",0.367251263170474,0.575684744843574,0.419735779838312,0.548614602688268,"pearson","Lohoff et al"
"112",0.371392845464642,0.584193937701141,0.423875156732327,0.57263012377627,"pearson","Lohoff et al"
"113",0.379074480705676,0.576389724193272,0.430761077991506,0.575911006708236,"pearson","Lohoff et al"
"114",0.386403369976342,0.581705593123303,0.4375942373067,0.57425315040447,"pearson","Lohoff et al"
"115",0.364058352874437,0.575889774948747,0.415515213796704,0.548993187092091,"pearson","Lohoff et al"
"116",0.372839281428294,0.581743547295499,0.425144889833231,0.568237381036426,"euclidean","Lohoff et al"
"117",0.346438573270799,0.56419241160847,0.39842851559795,0.521329844781009,"euclidean","Lohoff et al"
"118",0.372143980900909,0.583470055691394,0.423306573463868,0.564276168900265,"euclidean","Lohoff et al"
"119",0.372017964547576,0.582639685636476,0.422957648497643,0.569553002164644,"euclidean","Lohoff et al"
"120",0.371512964756851,0.584206256532427,0.421552279108543,0.556567579328846,"euclidean","Lohoff et al"
"121",0.231790168235509,0.318061670637951,0.387268239931727,0.479681202398822,"pearson","Bortolomeazzi et al"
"122",0.225904585684876,0.2975725304365,0.379514635189122,0.451401659829322,"pearson","Bortolomeazzi et al"
"123",0.274066704684866,0.30799062315738,0.422850283449237,0.470391801085038,"pearson","Bortolomeazzi et al"
"124",0.273149185740249,0.315608769811614,0.420061013036348,0.476036315489814,"pearson","Bortolomeazzi et al"
"125",0.225758038428801,0.298786153231108,0.379796642317571,0.449877914989816,"pearson","Bortolomeazzi et al"
"126",0.208835344636257,0.263669375640435,0.379948901424026,0.417628806091401,"euclidean","Bortolomeazzi et al"
"127",0.221598472814534,0.268598113201817,0.384070737032735,0.424670313955898,"euclidean","Bortolomeazzi et al"
"128",0.230832224699335,0.274221972662562,0.392038371060442,0.433604651823836,"euclidean","Bortolomeazzi et al"
"129",0.244150043067128,0.288179578843851,0.403330759716032,0.436725091865066,"euclidean","Bortolomeazzi et al"
"130",0.205842151402932,0.263141316634015,0.377929899766177,0.410622440368909,"euclidean","Bortolomeazzi et al"
"131",0.295505306216441,0.502482187122163,0.359528313031454,0.490685545912254,"pearson","Brbic et al intestine"
